Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Democratic Republic of the Congo,Africa,85743,95.737,233,0.26,35,1316,1.469,38,0.042,0
Senegal,Africa,85282,509.331,210,1.254,26,1956,11.682,7,0.042,0
Malawi,Africa,84915,443.885,283,1.479,39,2580,13.487,16,0.084,5
Iceland,Europe,83942,23052.503,12160,3339.43,1961,52,14.28,5,1.373,2
Côte d’Ivoire,Africa,81005,307.09,222,0.842,29,787,2.984,2,0.008,0
French Guiana,Americas,76893,25744.102,629,210.592,120,383,128.23,4,1.339,0
Suriname,Americas,76239,12996.052,2283,389.171,350,1288,219.558,21,3.58,3
Mauritius,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Malta,Europe,69530,13512.411,1340,260.415,172,572,111.162,16,3.109,1
Eswatini,Africa,68702,5921.749,248,21.376,41,1381,119.035,5,0.431,1
Fiji,Western Pacific,63398,7072.157,251,27.999,36,816,91.026,7,0.781,3
Guyana,Americas,61734,7848.686,1625,206.598,118,1185,150.658,14,1.78,3
Madagascar,Africa,61434,221.855,2115,7.638,0,1307,4.72,33,0.119,0
Sudan,Eastern Mediterranean,59455,135.59,581,1.325,0,3764,8.584,176,0.401,0
Mauritania,Africa,58527,1258.738,192,4.129,19,971,20.883,12,0.258,2
Cabo Verde,Africa,55811,10038.184,72,12.95,0,398,71.584,2,0.36,0
Belize,Americas,54516,13710.302,2512,631.746,337,631,158.691,2,0.503,1
Syrian Arab Republic,Eastern Mediterranean,52243,298.52,674,3.851,124,3017,17.239,22,0.126,3
French Polynesia,Western Pacific,51723,18412.79,2202,783.887,0,636,226.409,0,0,0
Barbados,Americas,49372,17180.339,3475,1209.221,714,288,100.217,6,2.088,2
Gabon,Africa,47399,2129.59,251,11.277,37,302,13.569,1,0.045,0
Seychelles,Africa,38293,38936.622,823,836.833,0,150,152.521,4,4.067,0
Papua New Guinea,Western Pacific,38222,427.204,832,9.299,239,610,6.818,13,0.145,5
Curaçao,Americas,37966,23136.88,685,417.446,112,247,150.524,13,7.922,0
Burundi,Africa,37816,318.028,254,2.136,60,15,0.126,0,0,0
Andorra,Europe,36989,47872.905,674,872.323,181,148,191.549,2,2.588,1
Togo,Africa,36612,442.242,74,0.894,0,270,3.261,2,0.024,0
Mayotte,Africa,36556,13399.556,120,43.986,0,187,68.545,0,0,0
Guinea,Africa,36297,276.384,131,0.998,16,432,3.289,13,0.099,0
United Republic of Tanzania,Africa,33436,55.975,516,0.864,0,792,1.326,14,0.023,0
Jersey,Europe,33414,30997.44,1854,1719.915,247,106,98.334,3,2.783,0
Aruba,Americas,33377,31261.825,333,311.897,49,196,183.579,3,2.81,1
New Caledonia,Western Pacific,33031,11569.608,9664,3384.962,1914,284,99.475,0,0,0
Bahamas,Americas,32802,8341.386,157,39.924,0,753,191.484,5,1.271,0
Lesotho,Africa,32350,1510.095,92,4.295,0,695,32.443,1,0.047,0
Guam,Western Pacific,30914,18316.694,2677,1586.135,0,303,179.529,7,4.148,4
Mali,Africa,30228,149.268,126,0.622,0,715,3.531,0,0,0
Haiti,Americas,29549,259.144,0,0,0,804,7.051,0,0,0
Benin,Africa,26498,218.573,0,0,0,163,1.345,0,0,0
Faroe Islands,Europe,26288,53797.196,4831,9886.422,663,22,45.022,3,6.139,2
Somalia,Eastern Mediterranean,26203,164.869,136,0.856,0,1340,8.431,5,0.031,0
Congo,Africa,23860,432.396,155,2.809,6,375,6.796,4,0.072,0
Isle of Man,Europe,21951,25814.987,319,375.153,31,73,85.85,2,2.352,0
Saint Lucia,Americas,21768,11854.466,687,374.128,33,342,186.247,9,4.901,1
Timor-Leste,South-East Asia,21158,1604.769,981,74.406,216,122,9.253,0,0,0
Burkina Faso,Africa,20696,99.008,47,0.225,11,375,1.794,4,0.019,0
Brunei Darussalam,Western Pacific,18845,4307.635,2154,492.366,441,59,13.486,0,0,0
New Zealand,Western Pacific,18460,382.81,1832,37.991,336,53,1.099,0,0,0
Tajikistan,Europe,17759,186.199,30,0.315,6,125,1.311,0,0,0
South Sudan,Africa,16873,150.736,53,0.473,12,137,1.224,0,0,0
Cayman Islands,Americas,15934,24245.283,2146,3265.368,0,16,24.346,1,1.522,0
Equatorial Guinea,Africa,15845,1129.378,17,1.212,0,182,12.972,0,0,0
Djibouti,Eastern Mediterranean,15527,1571.559,52,5.263,2,189,19.13,0,0,0
United States Virgin Islands,Americas,15128,14486.952,193,184.822,30,104,99.593,2,1.915,0
Central African Republic,Africa,14110,292.147,87,1.801,0,110,2.278,0,0,0
Gibraltar,Europe,14039,41669.882,796,2362.649,127,101,299.783,0,0,0
San Marino,Europe,13852,40815.605,496,1461.489,64,110,324.12,1,2.947,1
Nicaragua,Americas,13792,208.195,65,0.981,0,222,3.351,1,0.015,0
Grenada,Americas,13041,11589.631,452,401.696,155,212,188.406,1,0.889,1
Guernsey,Europe,12164,18868.276,687,1065.645,103,31,48.086,1,1.551,0
Gambia,Africa,11911,492.869,48,1.986,0,365,15.103,1,0.041,0
Yemen,Eastern Mediterranean,11604,38.906,459,1.539,25,2093,7.017,75,0.251,3
Greenland,Europe,11333,19962.305,408,718.664,33,7,12.33,1,1.761,0
Bermuda,Americas,11058,17757.294,265,425.546,0,119,191.094,2,3.212,0
Liechtenstein,Europe,10254,26463.984,737,1902.083,0,70,180.659,0,0,0
Dominica,Americas,10000,13890.625,968,1344.613,0,51,70.842,0,0,0
Eritrea,Africa,9652,272.162,72,2.03,1,102,2.876,3,0.085,1
Sint Maarten,Americas,9439,22011.567,101,235.53,32,82,191.222,3,6.996,0
Saint Martin,Americas,9433,24400.528,0,0,0,42,108.642,0,0,0
Monaco,Europe,8922,22734.686,340,866.374,42,49,124.86,1,2.548,1
Niger,Africa,8700,35.941,44,0.182,4,303,1.252,2,0.008,0
Saint Vincent and the Grenadines,Americas,8144,7340.905,205,184.785,0,99,89.237,5,4.507,0
Comoros,Africa,7978,917.432,146,16.789,13,160,18.399,0,0,0
Guinea-Bissau,Africa,7813,397.002,122,6.199,11,158,8.028,2,0.102,0
Sierra Leone,Africa,7628,95.625,5,0.063,0,125,1.567,0,0,0
Liberia,Africa,7358,145.482,86,1.7,12,290,5.734,0,0,0
Chad,Africa,7216,43.931,59,0.359,0,190,1.157,0,0,0
Antigua and Barbuda,Americas,6853,6997.927,121,123.559,0,131,133.77,4,4.085,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,6784,11786.577,1470,2553.99,221,23,39.96,0,0,0
Bhutan,South-East Asia,6779,878.555,1247,161.611,131,5,0.648,1,0.13,1
Bonaire,Americas,6683,31953.144,156,745.876,28,28,133.875,1,4.781,0
British Virgin Islands,Americas,5928,19605.12,0,0,0,58,191.818,7,23.15,0
Sao Tome and Principe,Africa,5913,2698.041,10,4.563,1,71,32.397,1,0.456,0
Turks and Caicos Islands,Americas,5806,14995.609,61,157.549,17,35,90.397,1,2.583,0
Saint Kitts and Nevis,Americas,5488,10317.341,42,78.959,4,38,71.439,1,1.88,0
Solomon Islands,Western Pacific,3795,552.495,1628,237.012,138,40,5.823,25,3.64,0
Saint Barthélemy,Americas,3427,34668.69,0,0,0,4,40.465,0,0,0
Palau,Western Pacific,2956,16338.713,1016,5615.742,113,0,0,0,0,0
Anguilla,Americas,2436,16237.835,75,499.933,0,9,59.992,1,6.666,0
Kiribati,Western Pacific,2173,1819.186,1406,1177.071,222,1,0.837,1,0.837,0
Saint Pierre and Miquelon,Americas,921,15893.011,93,1604.832,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,415,13220.771,33,1051.29,6,3,95.572,2,63.715,1
Saba,Americas,200,10346.611,0,0,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,1,20.004,1
Falkland Islands (Malvinas),Americas,91,2612.69,2,57.422,0,0,0,0,0,0
Tonga,Western Pacific,66,62.444,60,56.767,18,0,0,0,0,0
American Samoa,Western Pacific,57,103.266,22,39.857,0,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
