Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Saint Martin,Americas,9732,25173.957,0,0,0,44,113.816,0,0,0
Eritrea,Africa,9679,272.923,28,0.79,4,103,2.904,2,0.056,0
Sint Maarten,Americas,9496,22144.49,89,207.546,13,84,195.886,2,4.664,1
Monaco,Europe,9085,23150.036,205,522.373,32,50,127.408,2,5.096,0
Niger,Africa,8724,36.04,28,0.116,12,303,1.252,0,0,0
Bhutan,South-East Asia,8297,1075.287,1649,213.71,381,5,0.648,1,0.13,0
Saint Vincent and the Grenadines,Americas,8248,7434.649,104,93.744,0,103,92.843,4,3.606,0
Comoros,Africa,8005,920.537,40,4.6,0,160,18.399,0,0,0
Guinea-Bissau,Africa,7878,400.305,76,3.862,29,164,8.333,6,0.305,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,7746,13457.963,1183,2055.354,159,25,43.435,2,3.475,1
Sierra Leone,Africa,7652,95.926,24,0.301,0,125,1.567,0,0,0
Liberia,Africa,7360,145.521,14,0.277,0,290,5.734,0,0,0
Antigua and Barbuda,Americas,7342,7497.268,489,499.341,11,134,136.834,3,3.063,0
Chad,Africa,7216,43.931,0,0,0,190,1.157,0,0,0
Bonaire,Americas,6812,32569.926,157,750.657,8,28,133.875,0,0,0
British Virgin Islands,Americas,5997,19833.317,69,228.197,0,61,201.74,3,9.922,0
Sao Tome and Principe,Africa,5920,2701.235,8,3.65,0,71,32.397,0,0,0
Turks and Caicos Islands,Americas,5828,15052.43,39,100.728,0,35,90.397,0,0,0
Saint Kitts and Nevis,Americas,5505,10349.301,21,39.48,6,40,75.199,2,3.76,0
Solomon Islands,Western Pacific,4910,714.822,1253,182.418,87,65,9.463,25,3.64,4
Saint Barthélemy,Americas,3633,36752.656,0,0,0,4,40.465,0,0,0
Palau,Western Pacific,3303,18256.688,460,2542.56,47,4,22.109,4,22.109,0
Kiribati,Western Pacific,2665,2231.078,714,597.745,83,8,6.697,7,5.86,5
Anguilla,Americas,2497,16644.447,61,406.612,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,965,16652.286,44,759.275,44,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,435,13857.917,26,828.289,8,3,95.572,1,31.857,0
Saba,Americas,203,10501.811,3,155.199,1,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,1,20.004,0
Tonga,Western Pacific,141,133.403,93,87.989,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,105,3014.643,14,401.952,4,0,0,0,0,0
American Samoa,Western Pacific,57,103.266,0,0,0,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,1,5.693,1,5.693,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
