Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Chad,Africa,7260,44.199,3,0.018,0,190,1.157,0,0,0
Bonaire,Americas,6950,33229.739,6,28.688,0,28,133.875,0,0,0
British Virgin Islands,Americas,6091,20144.194,0,0,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5939,2709.905,0,0,0,72,32.853,0,0,0
Turks and Caicos Islands,Americas,5874,15171.238,7,18.079,7,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5538,10411.34,7,13.16,0,42,78.959,0,0,0
Palau,Western Pacific,3894,21523.325,71,392.439,6,6,33.164,0,0,0
Saint Barthélemy,Americas,3726,37693.475,0,0,0,4,40.465,0,0,0
Kiribati,Western Pacific,3010,2519.904,46,38.51,4,13,10.883,2,1.674,0
Anguilla,Americas,2574,17157.712,19,126.65,0,9,59.992,0,0,0
Tonga,Western Pacific,1320,1248.876,685,648.091,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,1055,18205.349,52,897.325,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,472,15036.636,3,95.572,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
American Samoa,Western Pacific,443,802.58,247,447.488,39,0,0,0,0,0
Cook Islands,Western Pacific,247,1406.286,163,928.035,41,0,0,0,0,0
Saba,Americas,211,10915.675,2,103.466,0,0,0,0,0,0
Montserrat,Americas,166,3320.664,3,60.012,0,2,40.008,0,0,0
Vanuatu,Western Pacific,164,53.395,146,47.535,59,0,0,0,0,0
Falkland Islands (Malvinas),Americas,118,3387.884,3,86.133,0,0,0,0,0,0
Samoa,Western Pacific,45,22.68,12,6.048,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Niue,Western Pacific,1,61.805,1,61.805,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
